,Location,
928,WAUE.BEPM.LINDAHL,
929,WAUE.BEPM.LOS1,
930,WAUE.BEPM.LOS2,
931,WAUE.BEPM.LRSE,
932,WAUE.BEPM.MADISON,
933,WAUE.BEPM.MANNINGWH,
934,WAUE.BEPM.NEAL4,
935,WAUE.BEPM.NTHBNDWND,
936,WAUE.BEPM.PEMBROOKWH,
937,WAUE.BEPM.PGS1,
938,WAUE.BEPM.PGS11,
939,WAUE.BEPM.PGS12,
940,WAUE.BEPM.PGS13,
941,WAUE.BEPM.PGS14_16,
942,WAUE.BEPM.PGS17_19,
943,WAUE.BEPM.PGS2,
944,WAUE.BEPM.PGS20_22,
945,WAUE.BEPM.PGS3,
946,WAUE.BEPM.PREVAIL,
947,WAUE.BEPM.PW1,
948,WAUE.BEPM.SIOUXLNDCT,
949,WAUE.BEPM.SIOUXLNDSLD,
950,WAUE.BEPM.SMS1,
951,WAUE.BEPM.SMS2,
952,WAUE.BEPM.STANTHONYWH,
953,WAUE.BEPM.SUNFLOWER,
954,WAUE.BEPM.SUPERIOR,
955,WAUE.BEPM.WEBSTERCITY,
956,WAUE.BEPM.WILTON1,
957,WAUE.BEPM.WILTON2,
958,WAUE.BEPM.WISDOM1,
959,WAUE.BEPM.WLDSPRNGS,
960,WAUE.BEPM.WOODLANDWH,
961,WAUE.BIGBEND.1_8,
962,WAUE.CRK1.CROCKER,
963,WAUE.FSE,
964,WAUE.FTPECK.1_3,
965,WAUE.FTPECK.4_5,
966,WAUE.FTRANDALL.1_2,
967,WAUE.FTRANDALL.3_8,
968,WAUE.GARRISON.1_3,
969,WAUE.GARRISON.4_5,
970,WAUE.GAVINSPT.1_3,
971,WAUE.HCPD.WESS,
972,WAUE.LCE.WILCK,
973,WAUE.MRES.EXR1,
974,WAUE.MRES.EXR2,
975,WAUE.MRES.EXR3,
976,WAUE.MRES.WTRN,
977,WAUE.NGRM.WILDSPRINGS,
978,WAUE.NMCA.ALGONA,
979,WAUE.NMCA.ALTAMUN,
980,WAUE.NMCA.BANCROFT,
981,WAUE.NMCA.COONRAPIDS,
982,WAUE.NMCA.GRAETTINGER,
983,WAUE.NMCA.GRUNDYCENTER,
984,WAUE.NMCA.LAURENS,
985,WAUE.NMCA.MILFORD,
986,WAUE.NMCA.NEAL4,
987,WAUE.NMCA.NEWHAMPTON,
988,WAUE.NMCA.SPENCER,
989,WAUE.NMCA.SUMNER,
990,WAUE.NMCA.WESTBEND,
991,WAUE.NMCA.WS4,
992,WAUE.NTWK,
993,WAUE.NWPS.AB1,
994,WAUE.NWPS.AB2,
995,WAUE.NWPS.AUR,
996,WAUE.NWPS.BEETHOVEN,
997,WAUE.NWPS.BIGSTONE1,
998,WAUE.NWPS.BRUL,
999,WAUE.NWPS.COYOTE1,
1000,WAUE.NWPS.GLAN,
1001,WAUE.NWPS.NEAL4,
1002,WAUE.NWPS.OTE,
1003,WAUE.NWPS.TITAN,
1004,WAUE.OAHE.1,
1005,WAUE.OAHE.2_7,
1006,WAUE.OPPD.GRPR1,
1007,WAUE.PCWF.PCWF,
1008,WAUE.SLWF.SLWF,
1009,WAUE.SUEZ.TPLH,
1010,WAUE.VOLT.0152,
1011,WAUE.VOLT.0172,
1012,WAUE_BEPM,
1013,WAUE_BEPM_NMCA,
1014,WAUE_BEPM_NMCA_CRMUBTC1,
1015,WAUE_EWA,
1016,WAUE_HCPD_NTWK,
1017,WAUE_HMMU,
1018,WAUE_MEAN_RFIA,
1019,WAUE_MECB,
1020,WAUE_MMPA,
1021,WAUE_MRES,
1022,WAUE_NSP_BERTHOLD,
1023,WAUE_NWMT_HLL,
1024,WAUE_NWPS_NTWK,
1025,WAUE_OTP,
1026,WAUE_OTPW,
1027,WAUE_UGPM,
1028,WAUE_UGPM_BEPM,
1029,WAUE_UGPM_BEPMNI,
1030,WAUE_UGPM_COSUPP,
1031,WAUE_UGPM_EWA,
1032,WAUE_UGPM_HARLAN,
1033,WAUE_UGPM_HCPD,
1034,WAUE_UGPM_HILINE,
1035,WAUE_UGPM_MMPA,
1036,WAUE_UGPM_MRES,
1037,WAUE_UGPM_NWPS,
1038,WAUE_UGPM_OTP,
1039,WFEC.BSWF.BSWF,
1040,WFEC.MVWP.MVWP,
1041,WFEC.PEOP.CENTRAHOMAEAST,
1042,WFEC.PEOP.CENTRAHOMAWEST,
1043,WFEC.PEOP.LELK,
1044,WFEC.PEOP.LITTLEDIXIE,
1045,WFEC.PEOP.STUART,
1046,WFEC_ANA_COMB_CYC_4,
1047,WFEC_ANA_COMB_CYC_5,
1048,WFEC_ANA_COMB_CYC_6,
1049,WFEC_ANA_GENCO_7,
1050,WFEC_ANA_GENCO_8,
1051,WFEC_ANA_ORME_10,
1052,WFEC_ANA_ORME_11,
1053,WFEC_ANA_ORME_9,
1054,WFEC_ANA_STEAM_PLANT,
1055,WFEC_BALKO_WIND_FARM,
1056,WFEC_BLUECAN_WIND_FARM,
1057,WFEC_BUFFBEAR_WIND_FARM,
1058,WFEC_CAPROCK_SOLAR,
1059,WFEC_ENMC,
1060,WFEC_GRANT_COUNTY_WIND,
1061,WFEC_HUGO_PLANT,
1062,WFEC_LC_GAS_PLANT,
1063,WFEC_MOORELAND_2,
1064,WFEC_MOORELAND_3,
1065,WFEC_MOORELAND_PLANT,
1066,WFEC_OKGE,
1067,WFEC_PEOP_LOAD,
1068,WFEC_REDHILLS_WIND_FARM,
1069,WFEC_RKYRIDGE_WIND_FARM,
1070,WFEC_WFEC,
1071,WFEC_WILDCAT_WIND_FARM,
1072,WR.AEPE.FLATRIDGE3,
1073,WR.CBW,
1074,WR.CPW,
1075,WR.EMP.CT1,
1076,WR.EMP.CT2,
1077,WR.EMP.CT3,
1078,WR.EMP.CT4,
1079,WR.EMP.CT5,
1080,WR.EMP.CT6,
1081,WR.EMP.CT7,
1082,WR.ERIE.EC,
1083,WR.ETNA.ASSET1,
1084,WR.FLATRIDGE3,
1085,WR.FRW.1,
1086,WR.FRW.2,
1087,WR.GEEC.GT1,
1088,WR.GEEC.GT2,
1089,WR.GEEC.GT3,
1090,WR.GSEC.DIAMONDVIST,
1091,WR.HBWA.HBWA,
1092,WR.HEC.GT1,
1093,WR.HEC.GT2,
1094,WR.HEC.GT3,
1095,WR.HEC.GT4,
1096,WR.IRSH.IRSH,
1097,WR.IWW1.GEN,
1098,WR.JAYHAWK,
1099,WR.JEC.1,
1100,WR.JEC.2,
1101,WR.JEC.3,
1102,WR.KCW,
1103,WR.KMW.1,
1104,WR.KMW.2,
1105,WR.LEC.4,
1106,WR.LEC.5,
1107,WR.MCPH.CT1,
1108,WR.MCPH.CT2,
1109,WR.MCPH.CT3,
1110,WR.MCPH.CT4,
1111,WR.MIDW.SMOKY1.ENEL,
1112,WR.MIDW.SMOKY2.ENEL,
1113,WR.MW.COLBY.MW,
1114,WR.MW.GMEC.MW,
1115,WR.MW.GMEC2.MW,
1116,WR.MW.KSE.MW,
1117,WR.MW.SMOK2.CU,
1118,WR.MWE1.MARSHALLWIND,
1119,WR.MWW,
1120,WR.NSW,
1121,WR.PEOP.BUZZARDFLOP,
1122,WR.PRW.GEN,
1123,WR.READ.READ,
1124,WR.SHARPE.KEPC,
1125,WR.SOCW.SOCW,
1126,WR.SPRM.ETNADVISTA,
1127,WR.SWITCHGRASS,
1128,WR.THAYERLD,
1129,WR.VOLT.0013,
1130,WR.VOLT.0014,
1131,WR.VOLT.0015,
1132,WR.VOLT.0017,
1133,WR.VOLT.0018,
1134,WR.VOLT.0019,
1135,WR.VOLT.0021,
1136,WR.VOLT.0054,
1137,WR.VOLT.0087,
1138,WR.VOLT.0093,
1139,WR.VOLT.0094,
1140,WR.VOLT.0095,
1141,WR.VOLT.0096,
1142,WR.VOLT.0098,
1143,WR.VOLT.0101,
1144,WR.VOLT.0102,
1145,WR.VOLT.0106,
1146,WR.VOLT.0108,
1147,WR.VOLT.0119,
1148,WR.VOLT.0120,
1149,WR.VOLT.0139,
1150,WR.VOLT.0141,
1151,WR.VOLT.0146,
1152,WR.VOLT.0147,
1153,WR.VOLT.0148,
1154,WR.VOLT.0153,
1155,WR.VOLT.0157,
1156,WR.VOLT.0158,
1157,WR.VOLT.0159,
1158,WR.VOLT.0165,
1159,WR.VOLT.0173,
1160,WR.VOLT.0174,
1161,WR.VOLT.0184,
1162,WR.VOLT.0185,
1163,WR.VOLT.0186,
1164,WR.VOLT.0187,
1165,WR.VOLT.0188,
1166,WR.VOLT.0189,
1167,WR.VOLT.0190,
1168,WR.VOLT.0191,
1169,WR.VOLT.0192,
1170,WR.VOLT.0196,
1171,WR.WMRM.1,
1172,WR.WOLF,
1173,WR.WPW,
1174,WR_CH_CHAN14GT,
1175,WR_FLATRIDGE2SWPCO1,
1176,WR_FLATRIDGE2SWPCO2,
1177,WR_FLATRIDGE2TSA,
1178,WR_FLATRIDGESOUTH,
1179,WR_KPP_NITS,
1180,WR_KPP_SESC,
1181,WR_KP_AUGICN1,
1182,WR_KP_AUGICN2,
1183,WR_KP_AUGICN3,
1184,WR_KP_AUGICN4,
1185,WR_KP_CCPUCIC1,
1186,WR_KP_CCPUCIC2,
1187,WR_KP_CCPUCIC3,
1188,WR_KP_CCPUCIC4,
1189,WR_KP_CCPUCIC5,
1190,WR_KP_CCPUCIC8,
1191,WR_KP_WELLTNGT,
1192,WR_KP_WELLTNST,
1193,WR_KP_WINFLDGT,
1194,WR_KP_WINFLDST,
1195,WR_MIDW,
1196,WR_MOPEP_KCPL,
1197,WR_MOPEP_MPS,
1198,WR_MW_KPP_NITS,
1199,WR_SEG,
1200,WR_WR,
1201,YAD,
